grid_id,cell_id,grid_index_within_cell
Grid_191,Cell_022,7
Grid_192,Cell_022,8
Grid_193,Cell_022,9
Grid_194,Cell_023,0
Grid_195,Cell_023,1
Grid_196,Cell_023,2
Grid_197,Cell_023,3
Grid_198,Cell_023,4
Grid_199,Cell_023,5
Grid_200,Cell_023,6
Grid_201,Cell_023,7
Grid_202,Cell_023,8
Grid_203,Cell_023,9
Grid_204,Cell_024,0
Grid_205,Cell_024,1
Grid_206,Cell_024,2
Grid_207,Cell_024,3
Grid_208,Cell_024,4
Grid_209,Cell_024,5
Grid_210,Cell_024,6
Grid_211,Cell_024,7
Grid_212,Cell_024,8
Grid_213,Cell_024,9
Grid_214,Cell_025,0
Grid_215,Cell_025,1
Grid_216,Cell_025,2
Grid_217,Cell_025,3
Grid_218,Cell_025,4
Grid_219,Cell_025,5
Grid_220,Cell_025,6
Grid_221,Cell_025,7
Grid_222,Cell_025,8
Grid_223,Cell_025,9
Grid_224,Cell_026,0
Grid_225,Cell_026,1
Grid_226,Cell_026,2
Grid_227,Cell_026,3
Grid_228,Cell_026,4
Grid_229,Cell_026,5
Grid_230,Cell_026,6
Grid_231,Cell_026,7
Grid_232,Cell_026,8
Grid_233,Cell_026,9
Grid_234,Cell_027,0
Grid_235,Cell_027,1
Grid_236,Cell_027,2
Grid_237,Cell_027,3
Grid_238,Cell_027,4
Grid_239,Cell_027,5
Grid_240,Cell_027,6
Grid_241,Cell_027,7
Grid_242,Cell_027,8
Grid_243,Cell_027,9
Grid_244,Cell_028,0
Grid_245,Cell_028,1
Grid_246,Cell_028,2
Grid_247,Cell_028,3
Grid_248,Cell_028,4
Grid_249,Cell_028,5
Grid_250,Cell_028,6
Grid_251,Cell_028,7
Grid_252,Cell_028,8
Grid_253,Cell_028,9
Grid_254,Cell_029,0
Grid_255,Cell_029,1
Grid_256,Cell_029,2
Grid_257,Cell_029,3
Grid_258,Cell_029,4
Grid_259,Cell_029,5
Grid_260,Cell_029,6
Grid_261,Cell_029,7
Grid_262,Cell_029,8
Grid_263,Cell_029,9
Grid_264,Cell_030,0
Grid_265,Cell_030,1
Grid_266,Cell_030,2
Grid_267,Cell_030,3
Grid_268,Cell_030,4
Grid_269,Cell_030,5
Grid_270,Cell_030,6
Grid_271,Cell_030,7
Grid_272,Cell_030,8
Grid_273,Cell_030,9
